형태소,품사,분류,카운트
!,Punctuation,1,5
!,Punctuation,2,4
!,Punctuation,3,3
!,Punctuation,4,1
!,Punctuation,5,5
!,Punctuation,6,22
!,Punctuation,7,19
!,Punctuation,8,135
!,Punctuation,9,131
!,Punctuation,10,2288
!!,Punctuation,1,1
!!,Punctuation,2,2
!!,Punctuation,3,1
!!,Punctuation,4,1
!!,Punctuation,5,1
!!,Punctuation,6,5
!!,Punctuation,7,4
!!,Punctuation,8,46
!!,Punctuation,9,61
!!,Punctuation,10,1362
!!!,Punctuation,1,1
!!!,Punctuation,2,4
!!!,Punctuation,7,1
!!!,Punctuation,8,13
!!!,Punctuation,9,22
!!!,Punctuation,10,644
!!!!,Punctuation,2,1
!!!!,Punctuation,6,2
!!!!,Punctuation,7,2
!!!!,Punctuation,8,7
!!!!,Punctuation,9,9
!!!!,Punctuation,10,235
!!!!@,Punctuation,10,1
!!!!@@@@,Punctuation,10,1
!!!!^^,Punctuation,8,1
!!!!^^,Punctuation,10,2
!!!!^^~,Punctuation,10,1
!!!!~,Punctuation,10,1
!!!!~~,Punctuation,10,1
!!!!~~~^^,Punctuation,10,1
!!!',Punctuation,10,1
!!!(,Punctuation,10,1
!!!...,Punctuation,8,1
!!!...,Punctuation,10,2
!!!><///,Punctuation,10,1
!!!??,Punctuation,10,1
!!!????,Punctuation,5,1
!!!@@,Punctuation,9,1
!!!@@@@!@@@,Punctuation,10,1
!!!^^,Punctuation,10,2
!!!^_^,Punctuation,10,1
!!!~~,Punctuation,10,2
"!!""(",Punctuation,9,1
!!(,Punctuation,10,1
!!+!,Punctuation,10,1
!!.,Punctuation,10,1
!!...,Punctuation,6,1
!!...,Punctuation,10,1
!!><,Punctuation,10,1
!!??,Punctuation,10,1
!!@!@@!@@@,Punctuation,10,1
!!^^,Punctuation,8,1
!!^^,Punctuation,9,1
!!^^,Punctuation,10,6
!!~,Punctuation,7,1
!!~,Punctuation,10,3
!!~~,Punctuation,1,1
!!~~,Punctuation,10,2
!!~~~^^,Punctuation,10,1
"!""",Punctuation,5,1
"!""",Punctuation,7,1
"!""",Punctuation,9,1
!(,Punctuation,10,3
!),Punctuation,10,1
!-,Punctuation,10,2
!.,Punctuation,10,1
!.!,Punctuation,10,1
!..,Punctuation,6,1
!..,Punctuation,10,1
!...,Punctuation,9,1
!...,Punctuation,10,8
!:),Punctuation,10,1
!>&,Punctuation,10,1
!><,Punctuation,10,1
!??,Punctuation,9,2
!??,Punctuation,10,1
!??!??!??!??!??!??!??!??!??!??!,Punctuation,10,1
!^^,Punctuation,8,1
!^^,Punctuation,9,1
!^^,Punctuation,10,6
!^^~,Punctuation,10,1
!^~^~,Punctuation,10,1
!~,Punctuation,8,2
!~,Punctuation,10,7
!~!,Punctuation,10,1
!~!!,Punctuation,10,1
!~!~!~!~!,Punctuation,10,1
!~^^,Punctuation,10,1
!~~,Punctuation,10,3
!~~~,Punctuation,10,2
!~~~!,Punctuation,10,1
!~~~~,Punctuation,10,1
!’,Punctuation,2,1
!’,Punctuation,10,1
"""",Punctuation,1,2
"""",Punctuation,5,1
"""",Punctuation,6,2
"""",Punctuation,7,3
"""",Punctuation,8,11
"""",Punctuation,9,8
